iter	Passed	Remaining
0	84	84135
1	138	69167
2	188	62801
3	235	58659
4	282	56140
5	332	55101
6	379	53798
7	420	52126
8	465	51212
9	511	50681
10	565	50848
11	621	51191
12	698	53027
13	752	53028
14	801	52618
15	857	52726
16	904	52279
17	947	51706
18	994	51344
19	1041	51009
20	1086	50661
21	1134	50418
22	1186	50401
23	1238	50364
24	1297	50610
25	1348	50528
26	1421	51209
27	1497	51972
28	1547	51830
29	1599	51701
30	1651	51636
31	1713	51834
32	1797	52660
33	1854	52675
34	1900	52404
35	1947	52148
36	1997	51985
37	2055	52024
38	2131	52526
39	2179	52311
40	2228	52130
41	2275	51903
42	2325	51756
43	2375	51619
44	2428	51537
45	2486	51559
46	2539	51500
47	2589	51365
48	2642	51290
49	2698	51271
50	2754	51263
51	2822	51449
52	2874	51354
53	2920	51170
54	2973	51085
55	3015	50832
56	3063	50687
57	3105	50439
58	3152	50283
59	3195	50065
60	3243	49926
61	3286	49724
62	3332	49557
63	3381	49458
64	3430	49339
65	3475	49189
66	3522	49049
67	3573	48972
68	3621	48862
69	3670	48770
70	3715	48618
71	3769	48582
72	3844	48824
73	3919	49043
74	3984	49143
75	4054	49292
76	4108	49253
77	4150	49065
78	4197	48931
79	4245	48820
80	4295	48736
81	4347	48675
82	4388	48485
83	4435	48365
84	4480	48232
85	4531	48160
86	4572	47984
87	4617	47854
88	4662	47723
89	4706	47591
90	4754	47491
91	4801	47387
92	4849	47291
93	4893	47164
94	4936	47024
95	4984	46942
96	5035	46876
97	5102	46963
98	5155	46916
99	5203	46828
100	5254	46768
101	5298	46645
102	5347	46565
103	5389	46435
104	5435	46327
105	5481	46234
106	5526	46121
107	5569	46002
108	5616	45908
109	5662	45817
110	5713	45761
111	5754	45628
112	5796	45503
113	5836	45364
114	5889	45320
115	5933	45219
116	5979	45128
117	6029	45065
118	6070	44940
119	6140	45031
120	6213	45140
121	6277	45178
122	6325	45102
123	6375	45042
124	6424	44970
125	6464	44843
126	6510	44756
127	6557	44671
128	6604	44596
129	6654	44536
130	6696	44422
131	6739	44315
132	6785	44232
133	6833	44165
134	6882	44097
135	6924	43988
136	6966	43886
137	7013	43809
138	7053	43693
139	7099	43613
140	7143	43521
141	7204	43534
142	7250	43450
143	7302	43408
144	7345	43314
145	7390	43227
146	7433	43133
147	7478	43053
148	7523	42967
149	7568	42885
150	7608	42777
151	7647	42667
152	7692	42586
153	7736	42501
154	7784	42435
155	7826	42344
156	7873	42277
157	7917	42193
158	7963	42123
159	8009	42052
160	8055	41980
161	8100	41900
162	8138	41793
163	8188	41742
164	8253	41770
165	8306	41731
166	8351	41659
167	8400	41604
168	8452	41564
169	8495	41477
170	8539	41397
171	8582	41317
172	8629	41249
173	8675	41184
174	8719	41103
175	8764	41035
176	8817	40998
177	8898	41092
178	8942	41013
179	8981	40916
180	9024	40834
181	9068	40756
182	9115	40695
