iter	Passed	Remaining
0	55	55593
1	59	29600
2	62	20828
3	65	16370
4	68	13697
5	71	11890
6	73	10382
7	76	9466
8	78	8689
9	81	8065
10	83	7503
11	85	7061
12	87	6614
13	89	6321
14	92	6062
15	93	5766
16	95	5523
17	97	5342
18	99	5114
19	100	4914
20	102	4776
21	105	4708
22	109	4643
23	112	4570
24	114	4483
25	117	4397
26	121	4386
27	123	4286
28	126	4247
29	130	4204
30	132	4137
31	133	4037
32	136	3990
33	139	3949
34	141	3911
35	143	3854
36	146	3811
37	148	3762
38	151	3733
39	154	3708
40	157	3683
41	160	3663
42	163	3628
43	164	3570
44	166	3536
45	169	3514
46	172	3495
47	175	3484
48	177	3442
49	179	3404
50	181	3374
51	185	3373
52	186	3332
53	189	3326
54	191	3297
55	193	3261
56	195	3239
57	197	3205
58	199	3186
59	202	3169
60	205	3169
61	208	3159
62	211	3140
63	213	3120
64	216	3108
65	219	3102
66	221	3087
67	222	3055
68	225	3041
69	227	3024
70	230	3011
71	232	2996
72	234	2977
73	237	2967
74	240	2965
75	242	2946
76	244	2929
77	247	2920
78	249	2908
79	250	2882
80	251	2854
81	253	2843
82	256	2830
83	258	2819
84	260	2808
85	263	2805
86	266	2793
87	269	2788
88	272	2784
89	275	2788
90	277	2772
91	280	2764
92	282	2756
93	285	2750
94	287	2740
95	290	2733
96	292	2723
97	294	2713
98	298	2713
99	300	2708
100	303	2699
101	304	2683
102	306	2672
103	309	2666
104	312	2665
105	314	2653
106	316	2639
107	318	2627
108	320	2616
109	322	2611
110	325	2607
111	329	2610
112	331	2603
113	334	2602
114	337	2594
115	339	2585
116	342	2581
117	344	2576
118	348	2577
119	351	2580
120	353	2568
121	356	2566
122	360	2568
123	363	2564
124	365	2559
125	367	2550
126	370	2544
127	371	2530
128	375	2532
129	376	2518
130	379	2514
131	382	2514
132	385	2516
133	388	2512
134	391	2507
135	393	2502
136	397	2502
137	399	2497
138	400	2482
139	404	2485
140	407	2483
141	410	2482
142	414	2482
143	417	2482
144	420	2480
145	424	2482
146	427	2478
147	429	2474
148	432	2471
149	435	2468
150	438	2464
151	441	2465
152	445	2466
153	448	2463
154	451	2460
155	454	2458
156	458	2459
157	459	2448
158	462	2445
159	465	2442
160	468	2442
161	471	2440
162	475	2442
163	478	2437
164	481	2436
165	485	2437
166	490	2445
167	494	2446
168	496	2443
169	500	2442
170	502	2436
171	506	2439
172	509	2437
173	512	2431
174	515	2428
175	517	2424
176	521	2424
177	522	2413
178	524	2403
179	526	2399
180	529	2397
181	532	2394
182	535	2392
183	538	2388
184	541	2385
185	544	2383
186	547	2381
187	550	2376
188	553	2374
189	556	2372
190	559	2369
191	562	2368
192	565	2365
193	570	2370
194	573	2368
195	577	2370
196	582	2374
197	587	2377
198	591	2380
199	594	2378
200	599	2383
201	604	2387
202	609	2391
203	612	2388
204	616	2391
205	620	2391
206	625	2395
207	629	2395
208	633	2397
209	638	2403
210	644	2409
211	645	2400
212	651	2408
213	656	2409
214	660	2412
215	667	2421
216	669	2416
217	673	2414
218	676	2414
219	681	2415
220	685	2415
221	689	2416
222	693	2414
223	696	2413
224	702	2419
225	706	2419
226	710	2420
227	714	2419
228	717	2417
229	721	2414
230	724	2411
231	728	2410
232	734	2416
233	738	2416
234	742	2417
235	746	2416
236	749	2413
237	754	2414
238	757	2411
239	759	2405
240	762	2402
241	765	2397
242	769	2398
243	771	2390
244	774	2385
245	778	2386
246	781	2383
247	785	2382
248	787	2376
249	791	2373
250	795	2373
251	797	2367
252	799	2361
253	801	2355
254	804	2349
255	807	2346
256	811	2344
257	813	2340
258	816	2336
259	819	2331
260	821	2325
261	822	2316
262	823	2307
263	825	2302
264	829	2301
265	831	2295
266	834	2290
267	836	2285
268	838	2279
269	840	2271
270	842	2265
271	843	2258
272	845	2252
273	848	2247
274	851	2243
275	855	2243
276	859	2243
277	862	2240
278	865	2236
279	868	2232
280	868	2223
281	871	2218
282	875	2217
283	880	2218
284	882	2214
285	885	2210
286	888	2207
287	892	2207
288	895	2204
289	898	2200
290	900	2193
291	902	2187
292	904	2183
293	908	2181
294	911	2177
295	913	2171
296	915	2167
297	917	2161
298	919	2156
299	923	2154
300	927	2153
301	930	2149
302	932	2145
303	933	2138
304	936	2133
305	939	2130
306	943	2129
307	946	2126
308	950	2124
309	953	2121
310	956	2119
311	961	2119
312	964	2116
313	967	2112
314	969	2107
315	972	2104
316	975	2102
317	979	2101
318	982	2097
319	985	2094
320	987	2089
321	989	2083
322	991	2077
323	994	2074
324	995	2068
325	998	2064
326	1001	2060
327	1004	2057
328	1008	2056
329	1010	2051
330	1013	2048
331	1016	2045
332	1020	2044
333	1024	2043
334	1028	2042
335	1031	2038
336	1034	2034
337	1037	2032
338	1041	2031
339	1045	2028
340	1048	2025
341	1051	2023
342	1054	2019
343	1056	2015
344	1059	2011
345	1063	2010
346	1065	2005
347	1069	2003
348	1070	1996
349	1073	1994
350	1075	1988
351	1078	1985
352	1081	1983
353	1085	1980
354	1088	1978
355	1092	1975
356	1094	1971
357	1096	1967
358	1099	1962
359	1102	1959
360	1104	1955
361	1107	1951
362	1108	1945
363	1111	1942
364	1116	1942
365	1120	1940
366	1123	1938
367	1127	1935
368	1130	1933
369	1134	1931
370	1137	1928
371	1141	1926
372	1143	1922
373	1145	1917
374	1150	1916
375	1154	1915
376	1156	1911
377	1159	1907
378	1162	1904
379	1166	1903
380	1171	1903
381	1173	1898
382	1174	1892
383	1178	1890
384	1182	1889
385	1187	1888
386	1190	1885
387	1194	1884
388	1198	1882
389	1202	1880
390	1205	1877
391	1208	1874
392	1209	1868
393	1211	1863
394	1215	1861
395	1218	1858
396	1219	1852
397	1222	1848
398	1224	1844
399	1226	1840
400	1228	1834
401	1231	1831
402	1233	1827
403	1235	1823
404	1238	1818
405	1239	1814
406	1242	1809
407	1244	1806
408	1245	1800
409	1248	1796
410	1250	1791
411	1252	1787
412	1255	1784
413	1257	1780
414	1260	1776
